id,label,severity
265,moti bhains,M
275,sulli,M
295,Chinks,H
305,pheminist,M
315,sickular,M
325,ugly,L
335,bastard,L
345,boobs,L
355,poop,L
365,mothafucka,M
375,motherfucking,M
385,जिहादी,H
395,गा#,M
405,भोस्डीके,M
415,लौड़े,M
425,औरत-ए-जाहिल,H
435,गधी,M
445,सुल्ली,M
455,चाटुकार,M
465,भांड औरत,H
475,चूत के बाल,M
485,काला टेंट,H
495,ओला हु उबर,H
575,cunt,H
585,Chhipkali ke jhaat ke pasine,M
595,vagana,L
715,Kala,L
725,camelfuckers,H
745,Chappri,H
86,naachne waali,M
96,Jihadis,H
106,Randie,H
116,Gaandu,M
126,kulta,H
136,Bhdsk,M
146,Madarchod,M
156,chutie,M
166,chal phut,L
176,jaahil aurat,H
186,harami,M
196,naali,M
206,izzlam,M
216,Chuslim,H
226,bhanndh aurat,H
236,marr kyun nahi jaati,H
246,chuchi,M
256,kala tent,H
286,faggot,M
296,chinky,H
316,sc0undrel,M
326,stupid,M
336,b@st@rd,M
346,boobies,L 
356,pube,M
366,mothafuckaz,M
376,motherfuckings,M
386,छक्का,H
396,कुतिया,M
406,भोछडी वाला,H
416,चरित्रहीन,L 
426,भोसड़ीwala,H
436,बुरखा धत्त,H
446,हिज़रापंती,M
456,बहन की लोड़ी,H
466,भाड़े का टट्टू,M
476,मादरजात,M
486,जूता खायेगी,H
576,मदरचोद,M
586,cow-piss drinker,M
716,mad,L
726,r*tarded,H
746,nigga,H
97,zehadi,H
107,randya,H
117,Gaand,M
127,haramjadi,M
147,Maderchod,M
157,chutia,M
167,nangi poongi,L
187,gadhi,L
197,hagna,L
207,gaddar,M
217,chuslami,H
227,bhadi ka tattu,M
237,nalli,M
247,tatti,L
257,joota khayegi,H
267,Pataka,L
277,ola u uber,M
287,Sissy,M
297,Feminazi,M
307,Muzlim,M
317,R@pe,H
367,mothafucked,M
397,कुत्ती,M
407,लोड़ू,M
417,लिब्राण्डू,M
427,चंडाल चौकड़ी,H
447,तवाइफ़,M
457,चुस्लिम,H
467,दो कौड़ी की औरत,M
477,भड़वा,M
487,बुरखे वाली,M
577,maa ki chut,H
597,wh@re child,H
717,paki,M
727,साला,L
747,हिजड़ा,M
98,jehadan,M
108,randikhana,M
118,Gandiaal,M
128,dyan,M
138,Bhosi ke,M
148,mcp,M
158,chut ke dhakkan,M
168,pagal aurat,M
178,hilana,L
188,रनडwa,H
198,tukde tukde gang,L
208,chamcha,L
218,Chusalmans,H
228,2 Kaudi ki aurat,M
238,dimaag se paidal,H
248,maa ka boba chusu,M
258,burkhe waali,M
268,choodiyan pehen lo,L
278,lovejihad,L
288,whore,H
298,R@ndi,H
308,Buzlim,H
318,R@p3,H
328,crazy,L
358,retarded,H
